name	url	branch	commit	gitnexus
LuaN1aoAgent	https://github.com/SanMuzZzZz/LuaN1aoAgent	main	8bc8e52	indexed
Nettacker	https://github.com/OWASP/Nettacker	master	ef0c6b0	indexed
Pentest-Swarm-AI	https://github.com/Armur-Ai/Pentest-Swarm-AI	main	ca19c93	indexed
PentestGPT	https://github.com/GreyDGL/PentestGPT	main	b986930	indexed
agentic_security	https://github.com/msoedov/agentic_security	main	42615e5	indexed
airecon	https://github.com/pikpikcu/airecon	main	9a21453	indexed
amass	https://github.com/owasp-amass/amass	main	79299dc	indexed
caldera	https://github.com/apache/caldera	master	3735d9e	indexed
nuclei	https://github.com/projectdiscovery/nuclei	dev	e4a83ad	indexed
nuclei-templates	https://github.com/projectdiscovery/nuclei-templates	main	4bb9d12	indexed
osmedeus	https://github.com/j3ssie/osmedeus	main	d5aa39b	indexed
pentestagent	https://github.com/GH05TCREW/pentestagent	main	37be4dd	indexed
shannon	https://github.com/KeygraphHQ/shannon	main	5a2f78c	indexed
sqlmap	https://github.com/sqlmapproject/sqlmap	master	2b9fd6c	indexed
strix	https://github.com/usestrix/strix	main	302efed	indexed
subfinder	https://github.com/projectdiscovery/subfinder	dev	d0ea102	indexed
watchtower	https://github.com/fzn0x/watchtower	main	e0cc241	indexed
